2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:10:39 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #33d472 to #641bc5
2018-04-21 10:10:42 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #641bc5 to #733880
2018-04-21 10:10:50 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #733880 to #b9d0f5
2018-04-21 10:10:53 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b9d0f5 to #7d4914
2018-04-21 10:10:57 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7d4914 to #bb6cb5
2018-04-21 10:11:01 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #bb6cb5 to #0b87d9
2018-04-21 10:11:08 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0b87d9 to #60a1e5
2018-04-21 10:11:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #60a1e5 to #a18160
2018-04-21 10:11:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a18160 to #cae0b6
2018-04-21 10:11:27 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #cae0b6 to #464f5b
2018-04-21 10:11:31 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #464f5b to #001615
2018-04-21 10:11:34 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #001615 to #316184
2018-04-21 10:11:38 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #316184 to #02411e
2018-04-21 10:11:45 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #02411e to #7cb7af
2018-04-21 10:11:53 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7cb7af to #11371d
2018-04-21 10:11:57 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #11371d to #c0b620
2018-04-21 10:12:04 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c0b620 to #772b01
2018-04-21 10:12:07 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #772b01 to #e580a9
2018-04-21 10:12:15 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e580a9 to #a4e6a0
2018-04-21 10:12:22 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a4e6a0 to #f0b6d5
2018-04-21 10:12:29 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #f0b6d5 to #e13bba
2018-04-21 10:12:33 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e13bba to #c34c65
2018-04-21 10:12:37 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c34c65 to #a27749
2018-04-21 10:12:40 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a27749 to #b2d334
2018-04-21 10:12:47 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b2d334 to #204754
