2018-04-22 00:01:06 this bot joined the server
2018-04-22 00:40:21 Role color: 'my coloring role' changed from #c79f03 to #674647
2018-04-22 00:40:31 Role color: 'my coloring role' changed from #674647 to #a2562d
2018-04-22 00:40:40 Role color: 'my coloring role' changed from #a2562d to #9a3c5e
2018-04-22 00:40:56 Role color: 'my coloring role' changed from #9a3c5e to #2cd6ac
2018-04-22 00:41:06 Role color: 'my coloring role' changed from #2cd6ac to #5eec04
2018-04-22 00:41:21 Role color: 'my coloring role' changed from #5eec04 to #67420a
2018-04-22 00:41:37 Role color: 'my coloring role' changed from #67420a to #9cf7e2
2018-04-22 00:41:47 Role color: 'my coloring role' changed from #9cf7e2 to #3720ed
2018-04-22 00:41:57 Role color: 'my coloring role' changed from #3720ed to #0fec3e
2018-04-22 00:42:07 Role color: 'my coloring role' changed from #0fec3e to #f5b8cc
2018-04-22 00:42:23 Role color: 'my coloring role' changed from #f5b8cc to #138f49
2018-04-22 00:42:32 Role color: 'my coloring role' changed from #138f49 to #e94b51
2018-04-22 00:42:43 Role color: 'my coloring role' changed from #e94b51 to #7d609d
2018-04-22 00:42:53 Role color: 'my coloring role' changed from #7d609d to #f362d1
2018-04-22 00:43:03 Role color: 'my coloring role' changed from #f362d1 to #ffa24d
2018-04-22 00:43:12 Role color: 'my coloring role' changed from #ffa24d to #c93ae6
2018-04-22 00:43:28 Role color: 'my coloring role' changed from #c93ae6 to #c2fd16
2018-04-22 00:43:38 Role color: 'my coloring role' changed from #c2fd16 to #1078cd
2018-04-22 00:43:54 Role color: 'my coloring role' changed from #1078cd to #ecba1c
2018-04-22 00:43:55 Member join: @YAGPDB.xyz#8760 (id 204255221017214977)
2018-04-22 00:43:55 Role created: 'YAGPDB.xyz' (id 437413208395874312)
2018-04-22 00:43:55 Member role add: 'YAGPDB.xyz' role was added to @YAGPDB.xyz#8760
2018-04-22 00:44:03 Role color: 'my coloring role' changed from #ecba1c to #387f68
2018-04-22 00:44:03 Role position: 'my coloring role' changed from 5 to 4
2018-04-22 00:44:19 Role color: 'my coloring role' changed from #387f68 to #5b28ee
2018-04-22 00:44:29 Role color: 'my coloring role' changed from #5b28ee to #e65fea
2018-04-22 00:44:39 Role color: 'my coloring role' changed from #e65fea to #f9b3fa
2018-04-22 00:44:56 Role color: 'my coloring role' changed from #f9b3fa to #2ce6a8
2018-04-22 00:45:04 Role color: 'my coloring role' changed from #2ce6a8 to #0d41a2
2018-04-22 00:45:14 Role color: 'my coloring role' changed from #0d41a2 to #83aae3
2018-04-22 00:45:24 Role color: 'my coloring role' changed from #83aae3 to #67c700
2018-04-22 00:45:40 Role color: 'my coloring role' changed from #67c700 to #9cde87
2018-04-22 00:45:49 Role color: 'my coloring role' changed from #9cde87 to #b1e87d
2018-04-22 00:46:05 Role color: 'my coloring role' changed from #b1e87d to #d2ed99
2018-04-22 00:46:15 Role color: 'my coloring role' changed from #d2ed99 to #70f66e
2018-04-22 00:46:25 Role color: 'my coloring role' changed from #70f66e to #6f1ac1
2018-04-22 00:46:35 Role color: 'my coloring role' changed from #6f1ac1 to #d4c9ab
2018-04-22 00:46:45 Role color: 'my coloring role' changed from #d4c9ab to #ef965c
2018-04-22 00:46:55 Role color: 'my coloring role' changed from #ef965c to #25db8c
2018-04-22 00:47:04 Role color: 'my coloring role' changed from #25db8c to #82b86d
2018-04-22 00:47:20 Role color: 'my coloring role' changed from #82b86d to #55515c
2018-04-22 00:47:30 Role color: 'my coloring role' changed from #55515c to #08abbc
2018-04-22 00:47:40 Role color: 'my coloring role' changed from #08abbc to #53da63
2018-04-22 00:47:55 Role color: 'my coloring role' changed from #53da63 to #386b03
2018-04-22 00:48:06 Role color: 'my coloring role' changed from #386b03 to #9c0a48
2018-04-22 00:48:15 Role color: 'my coloring role' changed from #9c0a48 to #575ccb
2018-04-22 00:48:25 Role color: 'my coloring role' changed from #575ccb to #f2bd6f
2018-04-22 00:48:35 Role color: 'my coloring role' changed from #f2bd6f to #ebf10d
2018-04-22 00:48:57 Role color: 'my coloring role' changed from #ebf10d to #46da56
2018-04-22 00:49:07 Role color: 'my coloring role' changed from #46da56 to #4fc997
2018-04-22 00:49:17 Role color: 'my coloring role' changed from #4fc997 to #a364c0
2018-04-22 00:49:27 Role color: 'my coloring role' changed from #a364c0 to #30d9c9
2018-04-22 00:49:37 Role color: 'my coloring role' changed from #30d9c9 to #f13ec9
2018-04-22 00:49:46 Role color: 'my coloring role' changed from #f13ec9 to #e0270b
2018-04-22 00:50:02 Role color: 'my coloring role' changed from #e0270b to #4ca685
2018-04-22 00:50:10 Channel created: self-assignable-roles
2018-04-22 00:50:13 Role color: 'my coloring role' changed from #4ca685 to #7d339a
2018-04-22 00:50:21 Channel overwrites: self-assignable-roles (437414780215492618): role @everyone (434844059115192321) added with values 1024, 6144
2018-04-22 00:50:28 Role color: 'my coloring role' changed from #7d339a to #e8bd98
