2018-04-24 19:12:39 this bot joined the server
2018-04-24 19:12:39 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-24 19:12:53 Member role add: '📞SEKRETER📞' role was added to @Synapse#0692
2018-04-24 21:01:51 Role color: '👑 KİNG FOUNDER👑' changed from #2b772e to #48dcaa
2018-04-24 21:02:14 Role color: '👑 KİNG FOUNDER👑' changed from #48dcaa to #f97ecb
2018-04-24 21:02:24 Role color: '👑 KİNG FOUNDER👑' changed from #f97ecb to #95a37e
2018-04-24 21:02:34 Role color: '👑 KİNG FOUNDER👑' changed from #95a37e to #9fa765
2018-04-24 21:02:44 Role color: '👑 KİNG FOUNDER👑' changed from #9fa765 to #889687
2018-04-24 21:02:55 Role color: '👑 KİNG FOUNDER👑' changed from #889687 to #fcedda
2018-04-24 21:03:12 Role color: '👑 KİNG FOUNDER👑' changed from #fcedda to #ea5380
2018-04-24 21:03:22 Role color: '👑 KİNG FOUNDER👑' changed from #ea5380 to #336b5c
2018-04-24 21:03:39 Role color: '👑 KİNG FOUNDER👑' changed from #336b5c to #a83f76
2018-04-24 21:03:56 Role color: '👑 KİNG FOUNDER👑' changed from #a83f76 to #2f62c7
2018-04-24 21:04:12 Role color: '👑 KİNG FOUNDER👑' changed from #2f62c7 to #b43e9e
2018-04-24 21:04:22 Role color: '👑 KİNG FOUNDER👑' changed from #b43e9e to #d3252d
2018-04-24 21:04:32 Role color: '👑 KİNG FOUNDER👑' changed from #d3252d to #cfd045
2018-04-24 21:04:55 Role color: '👑 KİNG FOUNDER👑' changed from #cfd045 to #2f2679
2018-04-24 21:05:05 Role color: '👑 KİNG FOUNDER👑' changed from #2f2679 to #355c79
2018-04-24 21:05:16 Role color: '👑 KİNG FOUNDER👑' changed from #355c79 to #37eb6f
2018-04-24 21:05:32 Role color: '👑 KİNG FOUNDER👑' changed from #37eb6f to #8c48d5
2018-04-24 21:05:43 Role color: '👑 KİNG FOUNDER👑' changed from #8c48d5 to #a02550
2018-04-24 21:05:53 Role color: '👑 KİNG FOUNDER👑' changed from #a02550 to #884c0d
2018-04-24 21:06:10 Role color: '👑 KİNG FOUNDER👑' changed from #884c0d to #15102f
2018-04-24 21:06:20 Role color: '👑 KİNG FOUNDER👑' changed from #15102f to #864564
2018-04-24 21:06:30 Role color: '👑 KİNG FOUNDER👑' changed from #864564 to #7f2e25
2018-04-24 21:06:40 Role color: '👑 KİNG FOUNDER👑' changed from #7f2e25 to #5dffb6
2018-04-24 21:06:51 Role color: '👑 KİNG FOUNDER👑' changed from #5dffb6 to #5d2b89
2018-04-24 21:07:02 Role color: '👑 KİNG FOUNDER👑' changed from #5d2b89 to #1d4559
2018-04-24 21:07:25 Role color: '👑 KİNG FOUNDER👑' changed from #1d4559 to #130478
2018-04-24 21:07:36 Role color: '👑 KİNG FOUNDER👑' changed from #130478 to #089514
2018-04-24 21:07:46 Role color: '👑 KİNG FOUNDER👑' changed from #089514 to #12ddad
2018-04-24 21:07:57 Role color: '👑 KİNG FOUNDER👑' changed from #12ddad to #2355dc
2018-04-24 21:08:13 Role color: '👑 KİNG FOUNDER👑' changed from #2355dc to #2091a9
2018-04-24 21:08:24 Role color: '👑 KİNG FOUNDER👑' changed from #2091a9 to #b753f3
2018-04-24 21:08:34 Role color: '👑 KİNG FOUNDER👑' changed from #b753f3 to #a35a8c
2018-04-24 21:08:44 Role color: '👑 KİNG FOUNDER👑' changed from #a35a8c to #d380dd
2018-04-24 21:08:54 Role color: '👑 KİNG FOUNDER👑' changed from #d380dd to #f08719
2018-04-24 21:09:11 Role color: '👑 KİNG FOUNDER👑' changed from #f08719 to #1a5c31
2018-04-24 21:09:21 Role color: '👑 KİNG FOUNDER👑' changed from #1a5c31 to #f7f692
2018-04-24 21:09:31 Role color: '👑 KİNG FOUNDER👑' changed from #f7f692 to #3bd20a
2018-04-24 21:09:42 Role color: '👑 KİNG FOUNDER👑' changed from #3bd20a to #28b0d0
2018-04-24 21:09:52 Role color: '👑 KİNG FOUNDER👑' changed from #28b0d0 to #f7f387
2018-04-24 21:10:02 Role color: '👑 KİNG FOUNDER👑' changed from #f7f387 to #6ff4da
